review_id,product,star_rating,review_date,review_text
36,Bluetooth Speaker,5,2026-02-01,Works perfectly and looks amazing too. This is the best purchase I've made this year.
219,Water Bottle,5,2026-02-03,"Absolutely love this product, exceeded my expectations! Comfortable, easy to use, and worth every penny."
117,Wireless Earbuds,5,2026-02-04,"Works perfectly and looks amazing too. Absolutely love this product, exceeded my expectations!"
105,Bluetooth Speaker,5,2026-02-05,It arrived on time and matches the description.
184,Desk Lamp,3,2026-02-05,It arrived on time and matches the description.
75,Yoga Mat,1,2026-02-05,"Fairly standard product, met basic expectations."
174,Running Shoes,5,2026-02-07,Works perfectly and looks amazing too.
92,Backpack,5,2026-02-08,"Works perfectly and looks amazing too. Average product, some pros and some cons."
146,Backpack,2,2026-02-08,"Not worth the price, I regret this purchase."
138,Yoga Mat,4,2026-02-08,"Not bad, not great either. It works."
71,Desk Lamp,4,2026-02-09,"Really impressed with the build quality, feels sturdy and reliable. Average product, some pros and some cons."
69,Water Bottle,5,2026-02-10,Works perfectly and looks amazing too.
110,Coffee Maker,5,2026-02-15,"Fantastic value, I'm very happy with this."
208,Coffee Maker,3,2026-02-16,"Decent for the price, though I expected slightly more."
67,Wireless Earbuds,5,2026-02-17,"Absolutely love this product, exceeded my expectations!"
227,Running Shoes,4,2026-02-18,"Fantastic value, I'm very happy with this."
224,Desk Lamp,2,2026-02-19,"Poor design, difficult to use and overpriced."
94,Backpack,4,2026-02-19,"Really impressed with the build quality, feels sturdy and reliable. This is the best purchase I've made this year."
164,Wireless Earbuds,2,2026-02-20,"Terrible quality, broke after two days of use."
59,Wireless Earbuds,2,2026-02-25,"Really disappointed, this was a waste of money."
236,Coffee Maker,1,2026-02-26,"Poor design, difficult to use and overpriced."
33,Desk Lamp,4,2026-02-26,"Decent for the price, though I expected slightly more."
199,Yoga Mat,4,2026-02-27,"Excellent product, would buy again without hesitation."
80,Bluetooth Speaker,5,2026-02-27,"Comfortable, easy to use, and worth every penny."
179,Coffee Maker,5,2026-02-27,"Absolutely love this product, exceeded my expectations!"
116,Coffee Maker,5,2026-02-28,"Great quality and fast shipping, highly recommend. Excellent product, would buy again without hesitation."
111,Wireless Earbuds,3,2026-03-01,"Average product, some pros and some cons."
226,Coffee Maker,4,2026-03-02,"This is the best purchase I've made this year. Really impressed with the build quality, feels sturdy and reliable."
242,Running Shoes,3,2026-03-02,"Average product, some pros and some cons."
183,Yoga Mat,5,2026-03-03,"Not bad, not great either. It works."
120,Desk Lamp,5,2026-03-04,"Works perfectly and looks amazing too. Excellent product, would buy again without hesitation."
65,Wireless Earbuds,5,2026-03-07,"Excellent product, would buy again without hesitation."
85,Coffee Maker,1,2026-03-07,"Stopped working after a week, very frustrating."
20,Water Bottle,4,2026-03-08,"Comfortable, easy to use, and worth every penny."
188,Running Shoes,4,2026-03-08,Works perfectly and looks amazing too.
72,Water Bottle,1,2026-03-09,"Stopped working after a week, very frustrating."
191,Desk Lamp,5,2026-03-09,"Excellent product, would buy again without hesitation."
175,Wireless Earbuds,4,2026-03-10,"Great quality and fast shipping, highly recommend."
103,Backpack,4,2026-03-11,"Really impressed with the build quality, feels sturdy and reliable. This is the best purchase I've made this year."
40,Yoga Mat,4,2026-03-14,"Really impressed with the build quality, feels sturdy and reliable. This is the best purchase I've made this year."
32,Yoga Mat,1,2026-03-16,"Terrible quality, broke after two days of use."
165,Backpack,5,2026-03-17,"Fantastic value, I'm very happy with this."
19,Water Bottle,5,2026-03-17,"Absolutely love this product, exceeded my expectations! Really impressed with the build quality, feels sturdy and reliable."
215,Wireless Earbuds,3,2026-03-18,"Excellent product, would buy again without hesitation."
91,Wireless Earbuds,4,2026-03-18,"Decent for the price, though I expected slightly more."
127,Desk Lamp,4,2026-03-20,"Decent for the price, though I expected slightly more."
134,Backpack,5,2026-03-20,"Comfortable, easy to use, and worth every penny. Great quality and fast shipping, highly recommend."
78,Running Shoes,2,2026-03-21,"Cheap materials, feels flimsy and uncomfortable."
130,Yoga Mat,4,2026-03-22,"Really impressed with the build quality, feels sturdy and reliable. Average product, some pros and some cons."
250,Coffee Maker,5,2026-03-23,"Great quality and fast shipping, highly recommend."
170,Wireless Earbuds,2,2026-03-24,"Not worth the price, I regret this purchase."
39,Water Bottle,2,2026-03-24,The product arrived defective and customer service was unhelpful.
205,Bluetooth Speaker,3,2026-03-25,Works perfectly and looks amazing too.
21,Wireless Earbuds,4,2026-03-26,"Great quality and fast shipping, highly recommend."
217,Desk Lamp,4,2026-03-26,Works perfectly and looks amazing too.
51,Water Bottle,1,2026-03-27,"It arrived on time and matches the description. Poor design, difficult to use and overpriced."
93,Backpack,3,2026-03-27,"Not bad, not great either. It works."
143,Running Shoes,5,2026-03-27,This is the best purchase I've made this year.
74,Running Shoes,1,2026-03-28,"Not worth the price, I regret this purchase."
133,Wireless Earbuds,4,2026-03-28,"Fantastic value, I'm very happy with this."
194,Water Bottle,5,2026-03-28,"Absolutely love this product, exceeded my expectations!"
234,Coffee Maker,4,2026-03-30,"Fantastic value, I'm very happy with this. Comfortable, easy to use, and worth every penny."
22,Water Bottle,5,2026-03-30,"Really impressed with the build quality, feels sturdy and reliable."
96,Wireless Earbuds,2,2026-03-30,"Cheap materials, feels flimsy and uncomfortable."
220,Desk Lamp,3,2026-03-31,"Average product, some pros and some cons."
202,Coffee Maker,4,2026-04-01,"Comfortable, easy to use, and worth every penny. Great quality and fast shipping, highly recommend."
99,Desk Lamp,5,2026-04-02,This is the best purchase I've made this year.
153,Desk Lamp,1,2026-04-04,"Stopped working after a week, very frustrating."
235,Coffee Maker,2,2026-04-05,The product arrived defective and customer service was unhelpful.
185,Water Bottle,4,2026-04-06,"Fantastic value, I'm very happy with this."
41,Wireless Earbuds,2,2026-04-10,It arrived on time and matches the description.
89,Yoga Mat,4,2026-04-11,Works perfectly and looks amazing too.
55,Water Bottle,1,2026-04-11,"Really disappointed, this was a waste of money."
121,Water Bottle,5,2026-04-12,"Really impressed with the build quality, feels sturdy and reliable."
26,Running Shoes,4,2026-04-13,"Fantastic value, I'm very happy with this."
52,Bluetooth Speaker,5,2026-04-13,"Great quality and fast shipping, highly recommend. Fairly standard product, met basic expectations."
77,Water Bottle,5,2026-04-13,"Great quality and fast shipping, highly recommend."
9,Desk Lamp,3,2026-04-19,"Fairly standard product, met basic expectations."
97,Water Bottle,3,2026-04-19,Works perfectly and looks amazing too.
125,Backpack,4,2026-04-20,"Works perfectly and looks amazing too. Really impressed with the build quality, feels sturdy and reliable."
82,Wireless Earbuds,5,2026-04-21,"Really impressed with the build quality, feels sturdy and reliable."
186,Bluetooth Speaker,4,2026-04-21,"Great quality and fast shipping, highly recommend."
113,Bluetooth Speaker,5,2026-04-21,"Average product, some pros and some cons. This is the best purchase I've made this year."
37,Backpack,3,2026-04-22,"Decent for the price, though I expected slightly more."
244,Wireless Earbuds,4,2026-04-22,"Great quality and fast shipping, highly recommend. Excellent product, would buy again without hesitation."
151,Desk Lamp,5,2026-04-23,"Comfortable, easy to use, and worth every penny."
15,Coffee Maker,5,2026-04-23,"Excellent product, would buy again without hesitation."
35,Yoga Mat,5,2026-04-24,"Great quality and fast shipping, highly recommend."
163,Water Bottle,3,2026-04-25,"It's okay, does what it says but nothing special."
17,Bluetooth Speaker,4,2026-04-25,"Excellent product, would buy again without hesitation."
48,Backpack,3,2026-04-25,"Not bad, not great either. It works."
159,Backpack,3,2026-04-27,"Decent for the price, though I expected slightly more."
38,Yoga Mat,5,2026-04-27,"Excellent product, would buy again without hesitation."
171,Wireless Earbuds,5,2026-04-27,"Fantastic value, I'm very happy with this."
201,Coffee Maker,5,2026-04-27,"Really impressed with the build quality, feels sturdy and reliable."
16,Running Shoes,3,2026-04-28,This is the best purchase I've made this year.
231,Wireless Earbuds,4,2026-04-28,"Decent for the price, though I expected slightly more."
249,Coffee Maker,2,2026-04-29,"Really disappointed, this was a waste of money."
180,Coffee Maker,5,2026-04-30,"Absolutely love this product, exceeded my expectations!"
5,Yoga Mat,3,2026-04-30,It arrived on time and matches the description.
98,Running Shoes,3,2026-05-01,"Decent for the price, though I expected slightly more. Really disappointed, this was a waste of money."
119,Yoga Mat,3,2026-05-04,"Terrible quality, broke after two days of use. Terrible quality, broke after two days of use."
246,Bluetooth Speaker,5,2026-05-04,This is the best purchase I've made this year.
76,Bluetooth Speaker,1,2026-05-06,The product arrived defective and customer service was unhelpful.
144,Backpack,5,2026-05-06,This is the best purchase I've made this year.
27,Desk Lamp,5,2026-05-06,This is the best purchase I've made this year.
90,Yoga Mat,3,2026-05-06,"Stopped working after a week, very frustrating."
43,Backpack,5,2026-05-06,"Fairly standard product, met basic expectations. Comfortable, easy to use, and worth every penny."
166,Yoga Mat,5,2026-05-06,Works perfectly and looks amazing too.
230,Desk Lamp,4,2026-05-07,Works perfectly and looks amazing too.
3,Wireless Earbuds,5,2026-05-10,"Great quality and fast shipping, highly recommend."
12,Bluetooth Speaker,3,2026-05-12,"Average product, some pros and some cons."
209,Desk Lamp,4,2026-05-14,"Great quality and fast shipping, highly recommend. Really impressed with the build quality, feels sturdy and reliable."
221,Wireless Earbuds,3,2026-05-16,"Great quality and fast shipping, highly recommend."
243,Desk Lamp,5,2026-05-17,"Fairly standard product, met basic expectations."
61,Desk Lamp,3,2026-05-18,"Not bad, not great either. It works."
222,Desk Lamp,3,2026-05-18,"Awful experience, would not recommend to anyone."
118,Water Bottle,5,2026-05-20,"Great quality and fast shipping, highly recommend."
245,Backpack,3,2026-05-21,"It arrived on time and matches the description. Decent for the price, though I expected slightly more."
100,Running Shoes,5,2026-05-23,"Average product, some pros and some cons."
107,Desk Lamp,4,2026-05-23,"Comfortable, easy to use, and worth every penny."
57,Coffee Maker,4,2026-05-26,"Fairly standard product, met basic expectations. Excellent product, would buy again without hesitation."
155,Running Shoes,5,2026-05-27,"Absolutely love this product, exceeded my expectations!"
195,Backpack,5,2026-05-31,"Comfortable, easy to use, and worth every penny."
190,Running Shoes,3,2026-06-02,"Decent for the price, though I expected slightly more."
109,Desk Lamp,5,2026-06-02,"Great quality and fast shipping, highly recommend. Great quality and fast shipping, highly recommend."
135,Bluetooth Speaker,5,2026-06-04,"Comfortable, easy to use, and worth every penny."
225,Yoga Mat,4,2026-06-05,"Fantastic value, I'm very happy with this."
123,Bluetooth Speaker,2,2026-06-05,"Not worth the price, I regret this purchase."
50,Desk Lamp,2,2026-06-08,"Cheap materials, feels flimsy and uncomfortable."
161,Water Bottle,3,2026-06-09,"Excellent product, would buy again without hesitation."
169,Desk Lamp,1,2026-06-11,"Cheap materials, feels flimsy and uncomfortable."
45,Desk Lamp,5,2026-06-11,"Works perfectly and looks amazing too. Fantastic value, I'm very happy with this."
31,Water Bottle,5,2026-06-13,"Fantastic value, I'm very happy with this. Fantastic value, I'm very happy with this."
237,Desk Lamp,5,2026-06-14,"Absolutely love this product, exceeded my expectations!"
30,Bluetooth Speaker,4,2026-06-17,"This is the best purchase I've made this year. Absolutely love this product, exceeded my expectations!"
182,Coffee Maker,5,2026-06-17,"Comfortable, easy to use, and worth every penny."
228,Wireless Earbuds,5,2026-06-17,"Comfortable, easy to use, and worth every penny."
229,Running Shoes,4,2026-06-18,"Comfortable, easy to use, and worth every penny."
193,Wireless Earbuds,4,2026-06-20,"Fantastic value, I'm very happy with this. Absolutely love this product, exceeded my expectations!"
197,Backpack,4,2026-06-20,"Comfortable, easy to use, and worth every penny. Not bad, not great either. It works."
104,Coffee Maker,5,2026-06-20,"Really impressed with the build quality, feels sturdy and reliable."
29,Backpack,2,2026-06-20,"Stopped working after a week, very frustrating."
196,Bluetooth Speaker,4,2026-06-21,"Absolutely love this product, exceeded my expectations!"
23,Coffee Maker,4,2026-06-22,"Fantastic value, I'm very happy with this. Decent for the price, though I expected slightly more."
49,Water Bottle,5,2026-06-22,"Not bad, not great either. It works. Great quality and fast shipping, highly recommend."
68,Yoga Mat,4,2026-06-22,"Absolutely love this product, exceeded my expectations! Great quality and fast shipping, highly recommend."
2,Yoga Mat,4,2026-06-23,"Absolutely love this product, exceeded my expectations! Average product, some pros and some cons."
53,Desk Lamp,4,2026-06-24,"Decent for the price, though I expected slightly more."
132,Water Bottle,1,2026-06-25,The product arrived defective and customer service was unhelpful.
181,Coffee Maker,2,2026-06-26,"Terrible quality, broke after two days of use."
172,Yoga Mat,5,2026-06-27,"Fantastic value, I'm very happy with this."
25,Coffee Maker,3,2026-06-27,"Terrible quality, broke after two days of use."
128,Wireless Earbuds,1,2026-06-30,"Poor design, difficult to use and overpriced."
124,Coffee Maker,3,2026-06-30,"Decent for the price, though I expected slightly more."
14,Bluetooth Speaker,4,2026-06-30,"Great quality and fast shipping, highly recommend. Fantastic value, I'm very happy with this."
54,Bluetooth Speaker,5,2026-07-02,"Fantastic value, I'm very happy with this."
150,Bluetooth Speaker,3,2026-07-03,It arrived on time and matches the description.
42,Bluetooth Speaker,4,2026-07-05,"Absolutely love this product, exceeded my expectations!"
44,Coffee Maker,4,2026-07-06,"Comfortable, easy to use, and worth every penny."
162,Coffee Maker,4,2026-07-06,"Great quality and fast shipping, highly recommend."
140,Backpack,2,2026-07-06,"Average product, some pros and some cons. Decent for the price, though I expected slightly more."
1,Bluetooth Speaker,1,2026-07-07,"Terrible quality, broke after two days of use."
62,Desk Lamp,2,2026-07-07,"Stopped working after a week, very frustrating. Terrible quality, broke after two days of use."
232,Yoga Mat,5,2026-07-08,"Comfortable, easy to use, and worth every penny."
177,Desk Lamp,4,2026-07-10,"Really impressed with the build quality, feels sturdy and reliable."
167,Running Shoes,1,2026-07-10,"Terrible quality, broke after two days of use."
64,Coffee Maker,4,2026-07-11,"Absolutely love this product, exceeded my expectations! Average product, some pros and some cons."
6,Wireless Earbuds,5,2026-07-12,"Absolutely love this product, exceeded my expectations! It's okay, does what it says but nothing special."
206,Yoga Mat,4,2026-07-12,Works perfectly and looks amazing too.
70,Backpack,5,2026-07-13,"Excellent product, would buy again without hesitation."
115,Wireless Earbuds,5,2026-07-16,"Works perfectly and looks amazing too. Absolutely love this product, exceeded my expectations!"
95,Backpack,5,2026-07-18,"Really impressed with the build quality, feels sturdy and reliable."
168,Wireless Earbuds,1,2026-07-18,"Poor design, difficult to use and overpriced. Awful experience, would not recommend to anyone."
81,Wireless Earbuds,1,2026-07-19,"Poor design, difficult to use and overpriced."
160,Water Bottle,4,2026-07-19,"Great quality and fast shipping, highly recommend. Excellent product, would buy again without hesitation."
122,Wireless Earbuds,5,2026-07-20,Works perfectly and looks amazing too. This is the best purchase I've made this year.
156,Water Bottle,4,2026-07-20,"Comfortable, easy to use, and worth every penny."
18,Water Bottle,4,2026-07-21,"Really impressed with the build quality, feels sturdy and reliable."
173,Bluetooth Speaker,2,2026-07-21,"Awful experience, would not recommend to anyone."
223,Bluetooth Speaker,5,2026-07-23,"Great quality and fast shipping, highly recommend."
204,Running Shoes,5,2026-07-25,"Excellent product, would buy again without hesitation."
83,Yoga Mat,5,2026-07-27,"Average product, some pros and some cons."
84,Yoga Mat,4,2026-07-29,"Absolutely love this product, exceeded my expectations!"
157,Coffee Maker,5,2026-07-29,Works perfectly and looks amazing too. Works perfectly and looks amazing too.
47,Wireless Earbuds,1,2026-07-30,"Poor design, difficult to use and overpriced."
66,Yoga Mat,2,2026-07-30,"Poor design, difficult to use and overpriced. Really disappointed, this was a waste of money."
129,Backpack,4,2026-08-03,Works perfectly and looks amazing too.
200,Running Shoes,4,2026-08-03,"Decent for the price, though I expected slightly more."
241,Wireless Earbuds,5,2026-08-03,"Average product, some pros and some cons."
154,Running Shoes,4,2026-08-03,Works perfectly and looks amazing too.
139,Wireless Earbuds,3,2026-08-04,"Fairly standard product, met basic expectations."
218,Yoga Mat,4,2026-08-06,This is the best purchase I've made this year.
24,Yoga Mat,4,2026-08-06,"Really impressed with the build quality, feels sturdy and reliable."
8,Backpack,3,2026-08-07,"Comfortable, easy to use, and worth every penny. It arrived on time and matches the description."
214,Desk Lamp,1,2026-08-08,"Poor design, difficult to use and overpriced. It's okay, does what it says but nothing special."
211,Backpack,5,2026-08-10,"Excellent product, would buy again without hesitation. Works perfectly and looks amazing too."
189,Running Shoes,4,2026-08-11,"Really impressed with the build quality, feels sturdy and reliable."
198,Wireless Earbuds,3,2026-08-11,"This is the best purchase I've made this year. Average product, some pros and some cons."
46,Desk Lamp,5,2026-08-14,"Comfortable, easy to use, and worth every penny."
79,Coffee Maker,4,2026-08-14,"Fantastic value, I'm very happy with this. Works perfectly and looks amazing too."
34,Coffee Maker,5,2026-08-15,"Absolutely love this product, exceeded my expectations!"
58,Bluetooth Speaker,5,2026-08-15,This is the best purchase I've made this year.
212,Desk Lamp,5,2026-08-15,Works perfectly and looks amazing too.
102,Running Shoes,5,2026-08-16,"Fantastic value, I'm very happy with this."
11,Bluetooth Speaker,4,2026-08-17,"Excellent product, would buy again without hesitation."
106,Bluetooth Speaker,5,2026-08-18,"Really impressed with the build quality, feels sturdy and reliable."
216,Water Bottle,4,2026-08-18,"Really impressed with the build quality, feels sturdy and reliable."
213,Bluetooth Speaker,5,2026-08-19,Works perfectly and looks amazing too.
141,Bluetooth Speaker,2,2026-08-19,"Stopped working after a week, very frustrating."
192,Desk Lamp,4,2026-08-21,"Excellent product, would buy again without hesitation."
137,Wireless Earbuds,3,2026-08-21,"Not bad, not great either. It works. Decent for the price, though I expected slightly more."
108,Running Shoes,1,2026-08-26,"Cheap materials, feels flimsy and uncomfortable."
248,Water Bottle,4,2026-08-26,"Excellent product, would buy again without hesitation."
207,Yoga Mat,5,2026-08-27,"Excellent product, would buy again without hesitation."
152,Yoga Mat,1,2026-08-28,"Not worth the price, I regret this purchase."
